Geography,County,State,Median Income,ACS Home Value,Zillow Home Value,Zillow Bottom Tier Home Value,Zillow Top Tier Home Value
"Sedgwick County, Colorado",Sedgwick County,Colorado,56125,91500,,,
"Summit County, Colorado",Summit County,Colorado,93222,547700,,,
"Teller County, Colorado",Teller County,Colorado,81076,261100,305900,177500,464500
"Washington County, Colorado",Washington County,Colorado,63907,120300,,,
"Weld County, Colorado",Weld County,Colorado,81655,245000,323700,246500,452300
"Yuma County, Colorado",Yuma County,Colorado,59575,148800,,,
"Fairfield County, Connecticut",Fairfield County,Connecticut,146085,417800,336700,186400,780700
"Hartford County, Connecticut",Hartford County,Connecticut,94643,235300,226600,143300,339600
"Litchfield County, Connecticut",Litchfield County,Connecticut,98961,250100,268300,166900,450600
"Middlesex County, Connecticut",Middlesex County,Connecticut,105460,283700,292900,184400,433600
"New Haven County, Connecticut",New Haven County,Connecticut,88342,244400,212500,125800,353500
"New London County, Connecticut",New London County,Connecticut,90563,238900,233600,163700,352000
"Tolland County, Connecticut",Tolland County,Connecticut,101772,247500,216000,155000,303500
"Windham County, Connecticut",Windham County,Connecticut,75748,196800,173700,134600,235200
"Kent County, Delaware",Kent County,Delaware,72184,205800,210900,142600,297900
"New Castle County, Delaware",New Castle County,Delaware,90792,248100,232100,138300,373600
"Sussex County, Delaware",Sussex County,Delaware,77328,242900,278100,,508900
"District of Columbia, District of Columbia",District of Columbia,District of Columbia,116090,537400,,,
"Alachua County, Florida",Alachua County,Florida,66321,167000,180200,99400,308200
"Baker County, Florida",Baker County,Florida,69642,121100,178700,104800,281800
"Bay County, Florida",Bay County,Florida,66918,166400,210400,126800,346100
"Bradford County, Florida",Bradford County,Florida,55152,90500,131600,,227000
"Brevard County, Florida",Brevard County,Florida,69712,162400,211200,139500,363700
"Broward County, Florida",Broward County,Florida,78625,223400,264200,125000,452900
"Calhoun County, Florida",Calhoun County,Florida,46493,80000,,,
"Charlotte County, Florida",Charlotte County,Florida,64108,165200,210300,130800,359900
"Citrus County, Florida",Citrus County,Florida,54308,117400,152700,94000,259700
"Clay County, Florida",Clay County,Florida,77730,165300,209200,149000,298500
"Collier County, Florida",Collier County,Florida,101492,316200,336400,191900,774000
"Columbia County, Florida",Columbia County,Florida,59660,112500,138800,,231300
"DeSoto County, Florida",DeSoto County,Florida,48273,83700,,,
"Dixie County, Florida",Dixie County,Florida,48723,71600,93200,40900,
"Duval County, Florida",Duval County,Florida,71000,156200,177900,,305900
"Escambia County, Florida",Escambia County,Florida,63188,126700,148400,72900,283600
"Flagler County, Florida",Flagler County,Florida,64032,188400,222700,167500,350600
"Franklin County, Florida",Franklin County,Florida,62661,135300,284800,,627300
"Gadsden County, Florida",Gadsden County,Florida,50733,101300,94300,35700,216000
"Gilchrist County, Florida",Gilchrist County,Florida,55208,96700,136400,56700,230100
"Glades County, Florida",Glades County,Florida,49400,80100,97700,,188700
"Gulf County, Florida",Gulf County,Florida,58245,151400,177200,60900,408000
"Hamilton County, Florida",Hamilton County,Florida,51270,73500,,,
"Hardee County, Florida",Hardee County,Florida,56566,81200,,,
"Hendry County, Florida",Hendry County,Florida,54503,79700,119100,71200,221000
"Hernando County, Florida",Hernando County,Florida,56394,120600,166700,120200,242500
"Highlands County, Florida",Highlands County,Florida,52544,87900,133700,76900,216700
"Hillsborough County, Florida",Hillsborough County,Florida,76363,179500,220600,141300,365300
"Holmes County, Florida",Holmes County,Florida,48281,92400,,,
"Indian River County, Florida",Indian River County,Florida,78701,172600,219700,133700,441800
"Jackson County, Florida",Jackson County,Florida,48336,94900,95000,42200,183900
"Jefferson County, Florida",Jefferson County,Florida,59427,131700,,,
"Lafayette County, Florida",Lafayette County,Florida,66526,101400,,,
"Lake County, Florida",Lake County,Florida,63741,155100,215700,135200,309000
"Lee County, Florida",Lee County,Florida,74000,190200,232900,151500,432000
"Leon County, Florida",Leon County,Florida,70672,187400,181900,94200,318900
"Levy County, Florida",Levy County,Florida,49122,88700,,64700,
"Liberty County, Florida",Liberty County,Florida,54816,62400,,,
"Madison County, Florida",Madison County,Florida,44778,87200,,,
"Manatee County, Florida",Manatee County,Florida,74317,197200,258900,153300,437200
"Marion County, Florida",Marion County,Florida,56300,119200,149800,88100,252000
"Martin County, Florida",Martin County,Florida,88405,233000,275900,137800,495900
"Miami-Dade County, Florida",Miami-Dade County,Florida,72162,242800,302900,177100,518200
"Monroe County, Florida",Monroe County,Florida,91157,429000,574300,367000,1151100
"Nassau County, Florida",Nassau County,Florida,83931,203500,275400,181800,505000
"Okaloosa County, Florida",Okaloosa County,Florida,76427,198700,222100,135000,404600
"Okeechobee County, Florida",Okeechobee County,Florida,51223,89900,134400,76000,246600
"Orange County, Florida",Orange County,Florida,74050,192400,245300,148100,380900
"Osceola County, Florida",Osceola County,Florida,60676,164500,216000,159700,290700
"Palm Beach County, Florida",Palm Beach County,Florida,89827,242500,276400,133400,503300
"Pasco County, Florida",Pasco County,Florida,64975,134300,178100,95300,286600
"Pinellas County, Florida",Pinellas County,Florida,70726,167100,229100,138000,413000
"Polk County, Florida",Polk County,Florida,60529,121100,175200,101500,252500
"Putnam County, Florida",Putnam County,Florida,45743,82800,111900,,225100
"St. Johns County, Florida",St. Johns County,Florida,103074,274600,,,
"St. Lucie County, Florida",St. Lucie County,Florida,62766,150700,,,
"Santa Rosa County, Florida",Santa Rosa County,Florida,78135,170500,202400,124400,322800
"Sarasota County, Florida",Sarasota County,Florida,80850,215300,258600,169800,501900
"Seminole County, Florida",Seminole County,Florida,81882,201900,250100,155500,389200
"Sumter County, Florida",Sumter County,Florida,70473,239800,264300,189800,386200
"Suwannee County, Florida",Suwannee County,Florida,57508,92400,132600,,210400
"Taylor County, Florida",Taylor County,Florida,49783,84900,95900,33800,186300
"Union County, Florida",Union County,Florida,49515,89000,,,
"Volusia County, Florida",Volusia County,Florida,60593,149900,193700,133800,317500
"Wakulla County, Florida",Wakulla County,Florida,64609,133700,170200,91000,268900
