"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-12-31,1789,"Iredell County","NC","Charlotte-Concord-Gastonia",378,195400,0.00205128205128205,0.0145379023883697,0.0807522123893805,0.055859112282058,0.020571941721375,"2018-12","2018-Q4",195400,0,"2018-12"
2018-12-31,3004,"Rensselaer County","NY","Albany-Schenectady-Troy",379,182500,0.000548245614035088,0.00164654226125137,0.0334088335220838,0.0228573090979503,0.00629474584844392,"2018-12","2018-Q4",182500,0,"2018-12"
2018-12-31,1337,"Pueblo County","CO","Pueblo",380,166100,0.0109555690809495,0.0413793103448276,0.154273801250869,0.0880988480957723,0.0374500099961179,"2018-12","2018-Q4",166100,0,"2018-12"
2018-12-31,704,"Sarpy County","NE","Omaha-Council Bluffs",381,199500,0.0065590312815338,0.0157841140529532,0.0522151898734177,0.0545090076310448,0.0333527824012496,"2018-12","2018-Q4",199500,0,"2018-12"
2018-12-31,2714,"Hampshire County","MA","Springfield",382,274200,0.00072992700729927,0.00883002207505519,0.0632027917797596,0.0340780994049976,0.0154604501648663,"2018-12","2018-Q4",274200,0,"2018-12"
2018-12-31,2679,"Deschutes County","OR","Bend-Redmond",383,392000,0.00797120082283363,0.0264467137994239,0.115537848605578,0.104576916790787,0.0501545771891703,"2018-12","2018-Q4",392000,0,"2018-12"
2018-12-31,2881,"Wyandotte County","KS","Kansas City",384,106200,0.0104662226450999,0.0535714285714286,0.145631067961165,0.153074475508555,0.0325403064590717,"2018-12","2018-Q4",106200,0,"2018-12"
2018-12-31,178,"Hays County","TX","Austin-Round Rock",385,271600,0.00518134715025907,0.0202854996243426,0.0868347338935574,0.0788891142622701,0.0411308458547821,"2018-12","2018-Q4",271600,0,"2018-12"
2018-12-31,2913,"Cumberland County","NJ","Vineland-Bridgeton",386,135100,-0.00221565731166913,0.0173192771084337,0.0250379362670713,0.0121238236967465,-0.0144074048254538,"2007-05","2007-Q2",173700,-0.222222222222222,"2005-05"
2018-12-31,2569,"Sullivan County","TN","Kingsport-Bristol-Bristol",387,130800,0.00383729854182655,0.01003861003861,0.0909090909090909,0.0421571757668382,0.0225065677224803,"2018-12","2018-Q4",130800,0,"2018-12"
2018-12-31,1544,"Berrien County","MI","Niles-Benton Harbor",388,140100,0.0043010752688172,0.0159535895576505,0.0894245723172628,0.0642855235498774,0.0197613919892463,"2018-12","2018-Q4",140100,0,"2018-12"
2018-12-31,2901,"Chittenden County","VT","Burlington-South Burlington",389,323000,0.0115878484184153,0.0296461587503985,0.0253968253968254,0.0375745311823177,0.0244843471622624,"2018-12","2018-Q4",323000,0,"2018-12"
2018-12-31,101,"Bibb County","GA","Macon-Bibb County",390,97700,0.0051440329218107,0.0262605042016807,0.17710843373494,0.0620653820853372,-0.00868030200418224,"2007-08","2007-Q3",113700,-0.140721196130167,"2004-05"
2018-12-31,250,"Maui County","HI","Kahului-Wailuku-Lahaina",391,663200,0.010513484686881,0.0296537804688713,0.112191849740064,0.0868088037086459,0.0283414890286682,"2018-12","2018-Q4",663200,0,"2018-12"
2018-12-31,3137,"Schenectady County","NY","Albany-Schenectady-Troy",392,172800,0.00406740267286461,0.0164705882352941,0.0555894929749542,0.0266590056744291,0.00659906367564456,"2018-12","2018-Q4",172800,0,"2018-12"
2018-12-31,1604,"Catawba County","NC","Hickory-Lenoir-Morganton",393,143100,0.00703729767769177,0.0294964028776978,0.13391442155309,0.0636711586552581,0.0196460339549192,"2018-12","2018-Q4",143100,0,"2018-12"
2018-12-31,2824,"Penobscot County","ME","Bangor",394,149800,0.0020066889632107,0.0128465179175118,0.0692362598144183,0.0476403545828317,0.0309895752912583,"2018-12","2018-Q4",149800,0,"2018-12"
2018-12-31,2468,"Ouachita Parish","LA","Monroe",395,123600,0.0024330900243309,0.0214876033057851,0.126709206927985,0.0522782462844802,0.0325773699231706,"2018-12","2018-Q4",123600,0,"2018-12"
2018-12-31,580,"Kings County","CA","Hanford-Corcoran",396,208700,-0.00286669851887243,0.00481463649494463,0.0513853904282116,0.0614369606298384,0.0173030763866295,"2006-09","2006-Q3",236500,-0.117547568710359,"2005-07"
2018-12-31,2054,"Tolland County","CT","Hartford-West Hartford-East Hartford",397,216000,-0.00277008310249307,-0.004149377593361,0.0369659145463274,0.0106071314374421,-0.00682035126120084,"2006-09","2006-Q3",250500,-0.137724550898204,"2004-10"
