GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US06111,06111,"Ventura County, California",520300,5294
0500000US06113,06113,"Yolo County, California",370800,6354
0500000US06115,06115,"Yuba County, California",207100,11070
0500000US08001,08001,"Adams County, Colorado",241900,2496
0500000US08003,08003,"Alamosa County, Colorado",152900,8445
0500000US08005,08005,"Arapahoe County, Colorado",292900,2254
0500000US08007,08007,"Archuleta County, Colorado",274000,14612
0500000US08009,08009,"Baca County, Colorado",79800,10268
0500000US08011,08011,"Bent County, Colorado",77700,9909
0500000US08013,08013,"Boulder County, Colorado",423500,6583
0500000US08014,08014,"Broomfield County, Colorado",356500,5844
0500000US08015,08015,"Chaffee County, Colorado",313200,15883
0500000US08017,08017,"Cheyenne County, Colorado",90000,20670
0500000US08019,08019,"Clear Creek County, Colorado",317000,31458
0500000US08021,08021,"Conejos County, Colorado",113100,7619
0500000US08023,08023,"Costilla County, Colorado",114200,8808
0500000US08025,08025,"Crowley County, Colorado",79700,18169
0500000US08027,08027,"Custer County, Colorado",248300,27950
0500000US08029,08029,"Delta County, Colorado",206200,12215
0500000US08031,08031,"Denver County, Colorado",322900,3623
0500000US08033,08033,"Dolores County, Colorado",122000,22984
0500000US08035,08035,"Douglas County, Colorado",407100,3821
0500000US08037,08037,"Eagle County, Colorado",471100,23502
0500000US08039,08039,"Elbert County, Colorado",380000,10822
0500000US08041,08041,"El Paso County, Colorado",238200,1725
0500000US08043,08043,"Fremont County, Colorado",160000,4117
0500000US08045,08045,"Garfield County, Colorado",323800,18671
0500000US08047,08047,"Gilpin County, Colorado",301700,25614
0500000US08049,08049,"Grand County, Colorado",285000,28584
0500000US08051,08051,"Gunnison County, Colorado",313900,24572
0500000US08053,08053,"Hinsdale County, Colorado",325400,39151
0500000US08055,08055,"Huerfano County, Colorado",137400,29260
0500000US08057,08057,"Jackson County, Colorado",171300,30741
0500000US08059,08059,"Jefferson County, Colorado",334100,2282
0500000US08061,08061,"Kiowa County, Colorado",83200,9091
0500000US08063,08063,"Kit Carson County, Colorado",130200,21252
0500000US08065,08065,"Lake County, Colorado",197600,18589
0500000US08067,08067,"La Plata County, Colorado",356700,8670
0500000US08069,08069,"Larimer County, Colorado",306600,4381
0500000US08071,08071,"Las Animas County, Colorado",145900,10807
0500000US08073,08073,"Lincoln County, Colorado",132100,21633
0500000US08075,08075,"Logan County, Colorado",148700,7791
0500000US08077,08077,"Mesa County, Colorado",207900,4135
0500000US08079,08079,"Mineral County, Colorado",279000,23044
0500000US08081,08081,"Moffat County, Colorado",169200,8742
0500000US08083,08083,"Montezuma County, Colorado",197900,11595
0500000US08085,08085,"Montrose County, Colorado",202500,8605
0500000US08087,08087,"Morgan County, Colorado",162900,7177
0500000US08089,08089,"Otero County, Colorado",91800,6838
0500000US08091,08091,"Ouray County, Colorado",420600,32842
0500000US08093,08093,"Park County, Colorado",262300,16750
0500000US08095,08095,"Phillips County, Colorado",132600,19586
0500000US08097,08097,"Pitkin County, Colorado",593600,117537
0500000US08099,08099,"Prowers County, Colorado",94400,10756
0500000US08101,08101,"Pueblo County, Colorado",148000,2356
0500000US08103,08103,"Rio Blanco County, Colorado",201000,18424
0500000US08105,08105,"Rio Grande County, Colorado",143000,15973
0500000US08107,08107,"Routt County, Colorado",460600,36872
0500000US08109,08109,"Saguache County, Colorado",150100,21547
0500000US08111,08111,"San Juan County, Colorado",269400,53957
0500000US08113,08113,"San Miguel County, Colorado",485000,48527
0500000US08115,08115,"Sedgwick County, Colorado",91500,8112
0500000US08117,08117,"Summit County, Colorado",547700,33439
0500000US08119,08119,"Teller County, Colorado",261100,15856
0500000US08121,08121,"Washington County, Colorado",120300,10961
0500000US08123,08123,"Weld County, Colorado",245000,2661
0500000US08125,08125,"Yuma County, Colorado",148800,18504
0500000US09001,09001,"Fairfield County, Connecticut",417800,4822
0500000US09003,09003,"Hartford County, Connecticut",235300,1700
0500000US09005,09005,"Litchfield County, Connecticut",250100,4037
0500000US09007,09007,"Middlesex County, Connecticut",283700,3516
0500000US09009,09009,"New Haven County, Connecticut",244400,1989
0500000US09011,09011,"New London County, Connecticut",238900,2928
0500000US09013,09013,"Tolland County, Connecticut",247500,3728
